Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_M,Type_H,target
0.097434826,-0.5448801,0.7053212,-1.0084283,-0.5138503,1.0,0.0,0
0.19759914,0.94227034,-0.52139044,1.2373228,-0.042211656,0.0,0.0,0
-0.90420824,-1.4236509,-0.42745304,-0.120109014,0.2564928,0.0,1.0,0
0.8987493,0.6042816,-1.3281467,2.0358121,-0.938325,0.0,1.0,0
1.1992422,1.2126614,-0.41087586,0.019626617,0.55519724,1.0,0.0,0
-0.503551,0.13109738,-0.8971399,2.2454157,-0.24658838,1.0,0.0,1
1.8503102,1.6858456,-0.42745304,0.6184936,0.9010655,1.0,0.0,0
0.19759914,0.33389062,0.5782294,-0.8587116,-1.0483739,0.0,1.0,0
-1.3549476,-1.0180644,0.9429275,-1.2280129,0.47659078,0.0,1.0,0
-0.90420824,-0.8828688,3.573174,-2.2161434,-1.2055868,1.0,0.0,0
-0.6037153,0.06349964,-0.8805627,0.39890903,-0.81255466,0.0,0.0,0
-1.3549476,-1.2208576,-0.5158647,1.347115,-1.5828977,1.0,0.0,0
-1.2047012,-0.34208685,0.19142848,-0.9086172,0.6809675,1.0,0.0,0
-1.9058512,-1.9644328,-0.6982137,1.337134,1.4984744,1.0,0.0,0
0.6483385,0.26629287,-0.21194966,-0.020297848,1.2469338,0.0,1.0,0
-0.102893785,0.7394771,-0.40535015,0.60851246,-0.78111213,1.0,0.0,0
0.097434826,1.1450636,0.3516746,-0.94854164,1.0739996,1.0,0.0,0
0.24768129,-0.13929361,-0.17326955,-0.21992017,0.66524625,0.0,1.0,0
-0.15297593,0.53668386,-0.6705851,0.65841806,1.4041467,0.0,0.0,0
1.1992422,0.7394771,0.14169693,0.27913564,0.86962295,1.0,0.0,0
-0.6037153,-0.8828688,-0.22852685,-0.0502412,-0.29375222,0.0,1.0,0
0.9989136,0.40148836,0.24116004,-0.47942922,0.9953933,1.0,0.0,0
-0.7038796,-0.2744891,-0.64295644,0.26915452,-0.40380123,1.0,0.0,0
0.59825635,-0.071695864,0.8158357,-1.0283906,-1.2213081,1.0,0.0,0
0.6483385,0.40148836,-0.8916142,0.93788934,1.0268358,0.0,1.0,0
0.5481742,0.7394771,0.41798332,-0.2299013,0.7124101,0.0,1.0,0
-0.7038796,-1.2208576,-1.1844778,1.3970207,-1.0483739,1.0,0.0,0
0.29776344,0.40148836,-0.62085354,1.2772473,-0.5138503,0.0,1.0,0
-0.6037153,-0.0040981136,0.39588043,-0.75890046,1.1840487,1.0,0.0,0
1.1992422,0.7394771,1.8823012,-1.5474087,0.75957394,1.0,0.0,0
-1.4050298,-1.2884554,0.8268872,-0.87867385,0.5866398,1.0,0.0,0
0.39792776,0.53668386,0.1361712,-0.37961805,-1.2055868,1.0,0.0,0
-0.2030581,0.6042816,-0.3611443,-0.030278964,-0.6867844,0.0,1.0,0
-0.8541261,-1.0856621,-0.30588704,0.33902234,1.0111145,1.0,0.0,0
-0.8541261,-1.3560531,-0.48823604,0.70832366,1.3884254,1.0,0.0,0
0.69842064,-0.071695864,-0.4385045,0.71830475,-1.3470784,0.0,0.0,0
-1.0544547,-0.071695864,0.01460519,-0.6191648,-1.1741443,1.0,0.0,0
-0.8541261,-0.61247784,-0.01302345,0.29909787,0.2407715,1.0,0.0,0
2.0005567,2.0238342,-0.47165886,0.6783803,-1.2213081,0.0,1.0,0
1.14916,0.7394771,-0.46613315,0.029607734,0.5866398,0.0,0.0,0
0.047352675,-0.47728235,-0.53244185,1.0277194,1.3884254,0.0,1.0,0
1.0489957,0.40148836,-0.8529341,1.3570962,-1.6143403,1.0,0.0,0
-0.7539618,-0.8152711,0.2743144,-0.93856055,-1.5200126,1.0,0.0,0
1.2994065,1.3478569,-0.51033896,0.54862577,1.0268358,1.0,0.0,0
1.5498173,0.80707484,0.47876635,-0.76888156,-1.3627998,1.0,0.0,0
-0.7038796,-1.2208576,-0.28378412,0.39890903,-1.0169314,0.0,1.0,0
0.59825635,0.53668386,-0.43297878,0.059551083,-0.95404625,1.0,0.0,0
-0.2030581,-0.5448801,0.18037702,-0.65908927,-1.378521,1.0,0.0,0
0.59825635,0.13109738,-0.8529341,0.22923006,-1.0326527,1.0,0.0,0
-0.0027294774,0.94227034,-0.035126362,0.25917342,1.1368848,0.0,1.0,0
-0.8541261,-1.3560531,-0.5379676,0.7282859,-0.6710631,1.0,0.0,0
-0.65379745,-0.34208685,-0.5158647,-0.00033561504,0.8224591,1.0,0.0,0
0.74850285,0.40148836,-0.27273268,0.8081348,-0.41952252,1.0,0.0,0
0.94883144,0.6042816,0.31852022,-0.30975023,-0.9068824,1.0,0.0,0
1.14916,0.06349964,-0.86398554,0.28911677,-1.3156358,0.0,0.0,0
1.14916,1.2126614,0.10854256,-0.55927813,1.309819,0.0,1.0,0
-0.102893785,-0.34208685,0.031182373,-0.7788627,-1.4099636,1.0,0.0,0
-0.35330456,0.33389062,0.13064548,0.20926782,-1.3942423,0.0,1.0,0
-1.154619,-1.9644328,1.744158,-1.747031,-1.5828977,0.0,0.0,0
-0.503551,-0.20689136,-0.6705851,0.46877685,1.5928022,0.0,1.0,0
-1.2047012,-0.8152711,-1.0076544,0.9678327,-0.05793294,0.0,1.0,0
1.2493243,0.26629287,0.36272606,-0.39958027,-0.60817796,0.0,1.0,0
1.0489957,0.46908614,-0.41087586,0.0695322,-1.48857,1.0,0.0,0
0.14751698,1.0098681,-0.062755,0.08949443,-0.49812895,0.0,1.0,0
2.050639,2.2266276,-0.32798994,-0.16003348,-0.5610141,0.0,1.0,0
-0.8541261,-0.5448801,-0.996603,1.1375116,-1.3627998,0.0,1.0,0
0.69842064,0.40148836,-1.0629117,1.3271528,-0.05793294,1.0,0.0,0
-0.7038796,-0.13929361,0.53954935,-0.5393159,1.5613595,1.0,0.0,0
1.5498173,1.6858456,-0.4771846,0.907946,0.5080334,1.0,0.0,0
0.14751698,-0.5448801,1.4789231,-1.3577675,0.9639507,1.0,0.0,0
0.49809206,0.6042816,-0.24510403,-0.26982576,-1.3627998,0.0,0.0,0
1.2994065,1.4154546,-1.3889297,2.8442826,-1.6929467,1.0,0.0,1
-0.4033867,-0.8152711,-0.74241954,1.1375116,1.1840487,1.0,0.0,0
-0.80404395,-0.47728235,-0.15116665,-0.4195425,-1.4099636,1.0,0.0,0
1.8503102,1.5506501,-0.85845983,0.58855027,0.20932893,1.0,0.0,0
-0.55363315,0.13109738,-0.52139044,-0.00033561504,0.33509922,1.0,0.0,0
0.74850285,0.6042816,0.22458285,-0.76888156,-1.5200126,1.0,0.0,0
-1.2547833,-0.9504666,-1.1734263,1.2073795,-1.3156358,0.0,1.0,0
0.097434826,0.94227034,-0.42192733,-0.24986352,0.5866398,1.0,0.0,0
-0.35330456,-0.9504666,-0.9302943,1.0476816,0.44514823,1.0,0.0,0
-1.154619,-0.5448801,1.0644935,-1.1182207,0.69668883,0.0,1.0,0
-1.2547833,-0.9504666,-1.018706,1.8860954,0.47659078,0.0,0.0,0
-1.805687,-1.8292373,2.9708695,-2.0863888,-0.43524382,0.0,1.0,0
0.39792776,-0.20689136,-0.3169385,-0.10014678,0.9953933,0.0,1.0,0
