Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_M,Type_H,target
-0.7539618,-1.0856621,0.40140614,-0.38959914,1.0425571,0.0,0.0,0
-0.80404395,-0.5448801,3.1974244,-2.2261245,1.6085234,1.0,0.0,0
-1.3549476,-1.0856621,1.7938896,-1.6871443,-0.27803096,0.0,0.0,0
0.047352675,-0.13929361,-0.60427636,1.6665108,-1.0012101,1.0,0.0,0
0.097434826,0.94227034,-0.62085354,-0.030278964,1.3884254,0.0,1.0,0
0.798585,0.40148836,0.3295717,-0.38959914,1.5770808,0.0,1.0,0
0.4480099,1.3478569,-0.7589967,1.0676439,1.2154913,0.0,1.0,0
-1.2547833,-0.9504666,0.3129945,-0.39958027,0.52375466,1.0,0.0,0
0.39792776,-0.2744891,-0.22852685,0.5785691,-0.95404625,1.0,0.0,0
-0.8541261,-1.0856621,0.29641733,-0.2997691,1.0425571,1.0,0.0,0
0.74850285,0.53668386,-0.8695113,1.2373228,0.9010655,1.0,0.0,0
0.24768129,-0.071695864,1.0810707,-1.2978808,-0.010769081,0.0,1.0,0
-1.2547833,-1.4236509,0.025656646,-0.20993906,0.44514823,0.0,1.0,0
-1.7055227,-1.6940418,1.075545,-1.2978808,-0.9068824,0.0,1.0,0
-0.7038796,-0.13929361,0.9097731,-1.1681262,-0.6867844,1.0,0.0,0
-0.6037153,-0.20689136,-1.1236948,1.0277194,-1.0012101,1.0,0.0,0
-1.154619,-0.4096846,-0.814254,0.40889016,0.5080334,1.0,0.0,0
0.34784558,-0.34208685,-0.17326955,-0.010316731,-0.7653908,1.0,0.0,0
-0.6037153,-0.13929361,-0.42192733,-0.00033561504,-0.27803096,1.0,0.0,0
0.097434826,-0.34208685,-0.571122,0.87800264,0.42942694,1.0,0.0,0
1.800228,1.2126614,0.15274839,-0.82876825,-0.16798195,1.0,0.0,0
-0.45346886,0.26629287,-0.06828073,0.39890903,0.6495249,1.0,0.0,0
-1.3048655,-0.47728235,-1.1457977,1.3171717,0.11500121,1.0,0.0,0
0.34784558,0.6042816,-0.94134575,1.1175494,-0.7025057,0.0,1.0,0
-1.4050298,-0.8152711,-0.48823604,0.309079,-0.6238992,1.0,0.0,0
-1.6053584,-1.2884554,1.6778493,-1.577352,1.639966,0.0,1.0,0
-0.102893785,-0.13929361,-0.62085354,0.5186824,-0.026490368,0.0,1.0,0
1.3995708,0.67187935,-0.571122,0.34900346,-0.95404625,0.0,0.0,0
1.7501459,1.4154546,0.74400127,-0.9185983,-1.6929467,1.0,0.0,0
-0.7038796,-1.2208576,0.9152988,-1.3677486,1.089721,1.0,0.0,0
1.1992422,1.2126614,-1.2121065,1.6365675,-0.120818086,1.0,0.0,0
0.24768129,-0.47728235,0.19142848,-0.6491082,-0.1050968,1.0,0.0,0
-0.3032224,0.33389062,1.1584309,-1.1880884,1.1211635,1.0,0.0,0
1.8503102,1.8210411,2.4846056,-1.7570121,0.9167868,1.0,0.0,0
-1.3048655,-0.74767333,-0.9026657,-0.10014678,1.1526061,0.0,1.0,0
0.097434826,-0.13929361,-0.9137171,0.76821035,-1.5671765,0.0,0.0,0
-1.154619,-0.20689136,-0.22852685,0.09947555,1.0739996,1.0,0.0,0
-0.102893785,0.8746726,0.11406829,-0.45946696,1.1054423,1.0,0.0,0
-1.805687,-1.8292373,0.0035537337,-0.25984463,-0.5138503,0.0,0.0,0
0.59825635,0.40148836,-0.72031665,1.0876061,-0.6553418,1.0,0.0,0
0.29776344,0.40148836,2.1641133,-1.7969365,-1.3156358,1.0,0.0,0
-1.3048655,-0.8152711,0.18590276,-0.6091837,0.2407715,0.0,1.0,0
0.9989136,0.26629287,1.5949634,-1.3677486,-0.40380123,0.0,1.0,0
-1.3048655,-1.2208576,-0.7589967,0.9678327,-1.0483739,1.0,0.0,0
-1.2547833,-0.74767333,0.08091392,-0.5193537,1.5141957,1.0,0.0,0
0.14751698,1.2802591,0.38482895,-0.5992026,1.089721,1.0,0.0,0
0.5481742,0.7394771,-0.38324723,0.059551083,0.80673784,0.0,1.0,0
0.29776344,-0.34208685,1.8104668,-1.6971254,2.1116047,1.0,0.0,0
0.84866714,0.67187935,-0.16221811,0.77819145,-1.268472,0.0,1.0,0
-1.4050298,-1.4236509,0.5119207,-0.24986352,0.75957394,0.0,1.0,0
-0.3032224,0.6042816,-0.36667004,0.009645501,-1.5828977,0.0,1.0,0
-1.0544547,-1.4236509,-0.35009286,0.5186824,-0.26230967,1.0,0.0,0
-1.7556049,-1.7616396,-1.0463346,1.5567186,-0.60817796,0.0,1.0,0
-0.05281163,-0.47728235,0.44561198,-0.88865495,1.3884254,1.0,0.0,0
0.097434826,0.94227034,2.3243594,-1.9067289,-1.378521,0.0,1.0,0
0.24768129,-0.13929361,0.086439654,-0.110127896,0.9167868,0.0,1.0,0
-0.102893785,0.80707484,3.330042,-2.3359168,0.5709185,1.0,0.0,0
-0.0027294774,0.80707484,-0.6705851,0.7282859,-0.74966955,1.0,0.0,0
0.6483385,0.46908614,1.5452318,-1.4475975,-0.9697676,0.0,1.0,0
0.84866714,0.67187935,-0.01302345,-0.6491082,0.6023611,0.0,1.0,0
-0.7038796,-1.1532599,0.98160756,-1.1282017,-1.2370294,0.0,1.0,0
0.9989136,0.53668386,-0.86398554,1.0277194,1.9386704,1.0,0.0,1
2.050639,2.361823,-0.38324723,0.5785691,-0.3566374,0.0,1.0,0
0.4480099,0.8746726,0.3516746,-0.81878716,1.2940977,0.0,1.0,0
1.2493243,1.0098681,-0.2561555,-0.4894103,0.3665418,1.0,0.0,0
