Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_M,Type_H,target
-1.6554406,-1.4236509,0.8324129,-1.0383717,0.17788635,1.0,0.0,0
1.2994065,0.33389062,-0.6595336,1.6365675,-0.7968334,0.0,1.0,0
-0.65379745,-1.0180644,0.6666411,-1.2978808,-0.9068824,0.0,1.0,0
-2.2063441,-2.505215,0.53402364,-0.7289571,-0.81255466,1.0,0.0,0
-1.2047012,-0.2744891,0.2908916,-0.4195425,-0.7968334,0.0,1.0,0
0.097434826,0.19869514,-0.3390414,-0.18997683,-0.98548883,0.0,1.0,0
-0.0027294774,0.94227034,-0.17326955,-0.17999572,-1.4099636,1.0,0.0,0
0.8987493,0.7394771,0.5948066,-0.8387494,-1.598619,0.0,1.0,0
-1.3048655,-0.9504666,0.76610416,-0.76888156,1.1368848,1.0,0.0,0
-1.2047012,-1.0180644,0.19142848,-0.28978798,0.20932893,1.0,0.0,0
0.59825635,0.46908614,2.3354108,-1.747031,-1.2527508,0.0,1.0,0
-0.25314024,0.53668386,0.1748513,-0.17999572,-0.52957153,1.0,0.0,0
0.097434826,0.19869514,0.9097731,-1.0782962,-1.0326527,0.0,1.0,0
1.1992422,0.94227034,-0.3556186,0.5186824,-0.9697676,0.0,1.0,0
-0.102893785,-0.47728235,-0.84740835,0.93788934,0.1307225,1.0,0.0,0
1.0489957,0.67187935,-1.0408088,0.94787043,1.3884254,1.0,0.0,0
1.2994065,0.13109738,1.8436211,-1.8668044,-0.3251948,0.0,0.0,0
1.7501459,1.8886389,0.3737775,-0.16003348,-0.24658838,1.0,0.0,0
-0.4033867,0.40148836,-0.22852685,0.109456666,-0.3094735,1.0,0.0,0
-1.3048655,-1.4236509,0.09749111,-0.44948584,1.0425571,1.0,0.0,0
-0.9542904,-1.3560531,0.87109303,-0.8986361,0.88534427,1.0,0.0,0
1.9504745,2.091432,-0.31141275,0.71830475,-0.5767354,0.0,1.0,0
-0.503551,0.26629287,-1.1071175,0.9578515,-0.21514581,1.0,0.0,0
-1.3048655,-1.4236509,-1.1126434,0.8480593,0.7910165,0.0,1.0,0
-1.4050298,-1.4236509,0.8158357,-0.9585228,-0.40380123,0.0,1.0,0
1.14916,0.94227034,-1.0739632,0.75822926,-0.63962054,0.0,1.0,0
-0.7038796,-0.13929361,-0.23957829,-0.2299013,0.41370565,1.0,0.0,0
-0.80404395,-1.2884554,-1.4386612,1.3071907,-1.5514551,1.0,0.0,0
-0.65379745,-0.071695864,1.1805338,-1.317843,-1.0640953,1.0,0.0,0
1.0990779,0.26629287,-0.4606074,0.7482481,0.9325081,0.0,1.0,0
-1.3048655,-1.1532599,1.2965741,-1.1082395,0.9167868,0.0,1.0,0
1.14916,0.7394771,-0.5766477,0.309079,0.6495249,0.0,1.0,0
1.14916,1.1450636,-0.94687146,1.3570962,0.9010655,0.0,1.0,0
0.097434826,0.19869514,0.29641733,-0.38959914,-1.1269804,0.0,1.0,0
0.19759914,0.06349964,0.41245762,-0.6491082,1.309819,1.0,0.0,0
0.74850285,0.40148836,-0.753471,0.738267,-1.158423,0.0,1.0,0
0.34784558,0.46908614,-0.63190496,0.5286636,-0.938325,1.0,0.0,0
-1.3549476,-1.0856621,-0.49928752,0.4388335,-1.158423,0.0,1.0,0
-1.2547833,-1.1532599,-0.44403023,0.5186824,-1.158423,0.0,1.0,0
1.6499816,0.8746726,0.14722265,0.60851246,-1.0483739,0.0,1.0,0
-0.55363315,-0.9504666,-0.09590937,0.6384558,-1.6615041,1.0,0.0,0
