Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Type_M,Type_H,target
-0.4033867,-1.0180644,-0.8916142,1.337134,-0.120818086,1.0,0.0,0
1.0990779,1.0098681,-0.6982137,0.34900346,-0.38807994,1.0,0.0,0
1.2994065,0.33389062,-0.49376178,0.31906012,-0.6238992,1.0,0.0,0
1.1992422,0.13109738,-0.5766477,0.48873907,0.30365664,0.0,0.0,0
1.7000637,1.8210411,0.30194303,-0.718976,-0.4509651,0.0,1.0,0
-1.5552763,-1.3560531,0.65558964,0.09947555,-0.52957153,1.0,0.0,0
0.34784558,1.2802591,-0.83083117,0.64843696,1.2312125,0.0,0.0,0
2.100721,2.2266276,-0.4164016,0.58855027,-0.938325,1.0,0.0,0
-0.90420824,-1.5588464,2.2801538,-1.836861,-0.23086709,0.0,1.0,0
-1.2047012,-0.9504666,-1.018706,0.6384558,-1.48857,1.0,0.0,0
-0.0027294774,1.0098681,0.6997955,-0.7988249,0.31937793,1.0,0.0,0
-1.3048655,-1.1532599,-0.31141275,-0.120109014,-1.3313571,1.0,0.0,0
-1.1045369,-0.6800756,0.20247994,0.4987202,-1.4256848,0.0,1.0,0
0.097434826,-0.47728235,-0.04065209,0.31906012,-0.85971856,1.0,0.0,0
-0.0027294774,-0.47728235,-0.7866254,1.1175494,1.0268358,1.0,0.0,0
-0.80404395,-0.47728235,0.85451585,-0.9086172,0.052116066,0.0,0.0,0
-0.55363315,-0.13929361,-0.029600633,0.20926782,-1.3313571,1.0,0.0,0
-0.6037153,-0.8828688,0.28536585,-0.88865495,-0.6238992,1.0,0.0,0
0.6483385,0.6042816,3.4571338,-2.256068,0.55519724,1.0,0.0,0
0.4480099,0.6042816,-0.93582004,1.247304,-0.010769081,1.0,0.0,0
-0.3032224,-0.6800756,-0.81977975,1.8162276,0.42942694,1.0,0.0,0
-0.8541261,-1.0180644,0.36825177,-0.6391271,-0.63962054,1.0,0.0,0
-0.102893785,-0.6800756,0.15274839,-0.38959914,-0.19942452,1.0,0.0,0
1.2493243,0.7394771,-0.2561555,-0.10014678,0.46086952,1.0,0.0,0
-0.15297593,-0.61247784,0.3516746,-0.15005235,0.97967196,0.0,1.0,0
1.0990779,1.0774659,-1.0076544,0.41887128,0.5394759,0.0,0.0,0
1.6499816,1.2126614,1.6723236,-1.5474087,-0.63962054,1.0,0.0,0
-0.80404395,-0.20689136,-0.45508167,0.41887128,1.0582784,1.0,0.0,0
-1.0043726,-1.6264441,0.23010857,0.33902234,0.083558634,0.0,1.0,0
-2.1562622,-2.505215,0.95397896,-1.148164,-1.0169314,0.0,1.0,0
